element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
K,0.19353190064430237,-0.572997510433197,-0.06430736929178238,0.15433894097805023,1.4909684658050537,-0.5616363883018494,-0.5713481903076172,0.30368179082870483,0.4865444302558899,0.03322798013687134,0.40391042828559875,0.11366218328475952,-0.07895965874195099,0.04962768405675888,-0.2672564685344696,-0.003414887934923172,-0.6423897743225098,1.2397645711898804,-0.39545896649360657,0.17867682874202728,0.4318288564682007,-0.14236244559288025,-0.2546423375606537,-1.8932421207427979,0.11160346865653992,-1.2447855472564697,0.43927285075187683,-0.10199245065450668,0.4068836569786072,1.0904039144515991
Ca,-0.1315896213054657,-1.586416244506836,0.10918711125850677,0.29658815264701843,0.8386054039001465,0.6742677688598633,-0.18741226196289062,-0.13604958355426788,0.10241864621639252,-0.5287400484085083,0.3543664216995239,0.6802775263786316,0.0480785071849823,-0.2836868464946747,0.06466183811426163,0.321221262216568,0.46394839882850647,-1.0683144330978394,0.27080589532852173,0.20517666637897491,-0.24774177372455597,-0.07568387687206268,-0.5543757677078247,-1.660868763923645,0.17881783843040466,-1.2112748622894287,-0.8126327395439148,0.010333738289773464,0.09794564545154572,0.017900049686431885
Sc,-0.4673396646976471,0.4088592529296875,-0.5365973711013794,0.5103023052215576,-0.989950954914093,0.20200493931770325,0.18468621373176575,-1.1232633590698242,1.2189345359802246,-0.6227202415466309,-0.35231611132621765,-1.0176951885223389,-0.07497164607048035,-0.10385910421609879,-0.09531127661466599,-0.08190853148698807,-0.41645729541778564,-0.19757641851902008,0.21236056089401245,0.45552173256874084,-0.011314909905195236,-0.49099278450012207,-0.1602889597415924,-1.8627197742462158,-0.19004549086093903,-0.5900968313217163,0.5944830775260925,0.5037629008293152,0.45589959621429443,-0.7308717966079712
Ti,0.03138725459575653,0.20115527510643005,0.30965670943260193,0.22402867674827576,-1.0915755033493042,-0.15085043013095856,0.0525364987552166,0.3067340850830078,0.19429676234722137,-0.6543499827384949,1.8034868240356445,-0.4174345135688782,0.04390423744916916,0.5557057857513428,-0.03301481157541275,0.23470798134803772,-0.30830779671669006,-0.021853160113096237,0.5659002065658569,-0.12165603041648865,0.029681621119379997,-0.1742994785308838,-0.6028695106506348,-1.3676592111587524,-0.6460206508636475,-1.0137113332748413,-0.6041032075881958,-0.00662645697593689,-0.10778108239173889,0.4885849356651306
V,0.4375138580799103,-0.17680047452449799,-0.7402588129043579,0.18522077798843384,-1.675675868988037,0.30238819122314453,0.07428428530693054,0.5173394680023193,0.0554349347949028,-0.03170255944132805,-0.04200640320777893,-0.5255352258682251,0.07321587204933167,0.5776466131210327,-0.2955375015735626,-0.2891541123390198,-0.024710625410079956,0.13251373171806335,0.8295360207557678,-0.2389862835407257,-0.1910180300474167,0.1919424831867218,-0.1601712554693222,-0.8409067392349243,0.3825007677078247,-1.2936875820159912,-1.0560563802719116,1.305077075958252,-0.24804554879665375,1.617262601852417
Cr,0.26700249314308167,-0.19293105602264404,-0.3827197849750519,0.3092338442802429,-1.7949748039245605,0.38216158747673035,-0.18884268403053284,0.6203049421310425,-0.22402353584766388,0.008911708369851112,0.6650594472885132,0.009257540106773376,0.39765217900276184,-0.5040828585624695,-0.46171241998672485,0.014817796647548676,-0.009838801808655262,0.8843820095062256,0.6129360795021057,-0.0036109909415245056,-0.2516400218009949,0.990612804889679,-0.47321179509162903,-0.6023012399673462,0.39037561416625977,-1.0221744775772095,-1.4796204566955566,-0.21244454383850098,0.025784030556678772,1.375258445739746
Mn,1.020920991897583,-0.4728608727455139,1.598411202430725,0.2702244818210602,-1.3866708278656006,0.14656327664852142,-0.05608317255973816,-0.11494038254022598,0.12659597396850586,-0.09600771963596344,0.09653160721063614,-0.4042242169380188,0.29700997471809387,-0.14901357889175415,-0.01905176043510437,-0.2408864051103592,0.15199598670005798,-0.42968398332595825,0.342942476272583,0.28300145268440247,-0.6254666447639465,0.20905423164367676,0.06949210166931152,-0.24720945954322815,0.17875729501247406,-1.0196456909179688,-0.5170547366142273,0.10362027585506439,0.037014737725257874,0.8582139611244202
Fe,0.1243952065706253,0.2623951733112335,0.14987199008464813,0.029887134209275246,-2.127753734588623,0.30297836661338806,0.1520160287618637,0.2685093879699707,-0.07527037709951401,0.26475903391838074,-0.012446660548448563,-0.1076282188296318,0.20553812384605408,-0.06257836520671844,0.1261458694934845,0.057801857590675354,0.13502094149589539,-0.04775489121675491,0.3353029489517212,0.4960002303123474,-0.4693543314933777,-0.08037447184324265,0.018523667007684708,0.3583812713623047,0.3706456422805786,-0.7711062431335449,1.4903239011764526,-0.1870911717414856,-0.30023136734962463,1.522435188293457
Co,0.2623586058616638,-0.07005200535058975,0.09195005893707275,0.10685651004314423,-2.0003561973571777,0.2648299038410187,0.22994211316108704,0.08594061434268951,-0.12911753356456757,0.10627083480358124,-0.1870051920413971,0.1324349194765091,-1.555114507675171,-0.1983814388513565,0.07446952909231186,0.04555721580982208,-0.5888344049453735,-0.5539581775665283,-0.6472415924072266,0.484327495098114,-0.7986582517623901,-0.08329903334379196,-0.2888275682926178,0.4371216595172882,0.15971215069293976,-0.5267903804779053,0.32157737016677856,-0.295605331659317,-0.36222606897354126,1.2971147298812866
Ni,0.46675562858581543,-0.18368259072303772,-0.0034115612506866455,1.707802176475525,-1.233012080192566,0.3292011022567749,-0.013291466981172562,0.5104320049285889,0.08872059732675552,0.26333868503570557,-0.14251846075057983,0.16482239961624146,0.04945595562458038,-0.17561104893684387,-0.08958341181278229,-0.0855596512556076,-0.5460844039916992,-0.8225468397140503,-1.333693265914917,0.4158259332180023,-1.301946759223938,0.10107561945915222,-0.27861472964286804,0.4176909029483795,-0.3922424614429474,-0.22389601171016693,-0.16924123466014862,-0.2683735489845276,0.30756351351737976,0.5891191959381104
